,Assignment,DocumentNo,BusA,Type,Tx,PBk,Clrng_doc.,Text,CoCd,Supplier,Account,G/L,Supplier_Name,Pur._Doc.,Doc._Date,Amt_in_loc.cur.,Clearing,Pstng_Date,Column1,Net_due_dt,Arrers,Arrear,Discont,Day1,Day2,Net,Entity,IC,Net_due_d-clearing_d,Paid_T/F,Inv_Type,Pay_term_in_days,Payment_Term_desc,PT_Category,doc_type
3970,596524,38579072,9461.0,debit,85,,55684122,w01 2024.05.17.*596524,940,603475,603475,162000,W+W Aufzugkomponenten,4503735455.0,16.05.2024,72.69,04.06.2024,29.05.2024,5.2024,15.07.2024,-2,-41,False,21,60,0,TKA,NO,41,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3971,597296,38579095,9461.0,debit,85,,55685258,*597296,940,603475,603475,162000,W+W Aufzugkomponenten,4503729359.0,28.05.2024,1669.71,13.06.2024,29.05.2024,5.2024,27.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3972,596520,38579170,9771.0,debit,85,,55684122,*596520,940,603475,603475,162000,W+W Aufzugkomponenten,4503734945.0,16.05.2024,143.63,04.06.2024,29.05.2024,5.2024,15.07.2024,-2,-41,False,21,60,0,TKA,NO,41,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3973,597103,38579226,9332.0,debit,85,,55684720,w01 2024.05.28 *597103,940,603475,603475,162000,W+W Aufzugkomponenten,4503738335.0,24.05.2024,336.53,10.06.2024,29.05.2024,5.2024,23.07.2024,-4,-43,False,21,60,0,TKA,NO,43,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3974,597130,38579227,9751.0,debit,85,,55684720,w01 2024.05.28 *597130,940,603475,603475,162000,W+W Aufzugkomponenten,4503738382.0,24.05.2024,669.7,10.06.2024,29.05.2024,5.2024,23.07.2024,-4,-43,False,21,60,0,TKA,NO,43,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3975,597197,38579236,9770.0,debit,85,,55685112,w01 2024.05.28 *597197,940,603475,603475,162000,W+W Aufzugkomponenten,4503738939.0,27.05.2024,173.74,12.06.2024,29.05.2024,5.2024,26.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3976,597312,38579247,9752.0,debit,85,,55685258,w01 2024.05.29 *597312,940,603475,603475,162000,W+W Aufzugkomponenten,4503738456.0,28.05.2024,121.33,13.06.2024,29.05.2024,5.2024,27.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3977,597201,38579296,9334.0,debit,85,,55685112,*597201,940,603475,603475,162000,W+W Aufzugkomponenten,4503738719.0,27.05.2024,607.35,12.06.2024,30.05.2024,5.2024,26.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3978,597285,38579317,9415.0,debit,85,,55685258,*597285,940,603475,603475,162000,W+W Aufzugkomponenten,4503738931.0,28.05.2024,266.7,13.06.2024,30.05.2024,5.2024,27.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3979,05224,38579330,9410.0,credit,85,,55683797,*05224,940,603475,603475,162000,W+W Aufzugkomponenten,4503723138.0,28.05.2024,-85.68,03.06.2024,30.05.2024,5.2024,27.07.2024,6,6,False,21,60,0,TKA,NO,54,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Credit notes
3980,597097,38579487,9752.0,debit,85,,55684720,*597097,940,603475,603475,162000,W+W Aufzugkomponenten,4503738332.0,24.05.2024,241.17,10.06.2024,31.05.2024,5.2024,23.07.2024,-4,-43,False,21,60,0,TKA,NO,43,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3981,597315,38579491,9415.0,debit,85,,55685258,*597315,940,603475,603475,162000,W+W Aufzugkomponenten,4503727445.0,28.05.2024,412.86,13.06.2024,31.05.2024,5.2024,27.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3982,597314,38579492,9415.0,debit,85,,55685258,*597314,940,603475,603475,162000,W+W Aufzugkomponenten,4503732266.0,28.05.2024,263.38,13.06.2024,31.05.2024,5.2024,27.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3983,596877,38579494,9415.0,debit,85,,55684604,*596877,940,603475,603475,162000,W+W Aufzugkomponenten,4503730634.0,22.05.2024,103.93,07.06.2024,31.05.2024,5.2024,21.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3984,596796,38579495,9320.0,debit,85,,55684515,*596796,940,603475,603475,162000,W+W Aufzugkomponenten,4503736478.0,21.05.2024,951.05,06.06.2024,31.05.2024,5.2024,20.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3985,596371,38579607,9885.0,debit,85,,55684122,w01 2024.05.17.*596371,940,603475,603475,162000,W+W Aufzugkomponenten,4503732635.0,15.05.2024,210.7,04.06.2024,31.05.2024,5.2024,14.07.2024,-1,-40,False,21,60,0,TKA,NO,40,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3986,597281,38579615,9885.0,debit,85,,55685258,w01 2024.05.29 *597281,940,603475,603475,162000,W+W Aufzugkomponenten,4503735752.0,28.05.2024,105.87,13.06.2024,31.05.2024,5.2024,27.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3987,597435,38579756,9332.0,debit,85,,55685362,*597435,940,603475,603475,162000,W+W Aufzugkomponenten,4503739588.0,29.05.2024,311.23,14.06.2024,03.06.2024,6.2024,28.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3988,597363,38579757,9332.0,debit,85,,55685362,*597363,940,603475,603475,162000,W+W Aufzugkomponenten,4503739672.0,29.05.2024,173.37,14.06.2024,03.06.2024,6.2024,28.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3989,596521,38579758,9335.0,debit,85,,55684122,*596521,940,603475,603475,162000,W+W Aufzugkomponenten,4503735332.0,16.05.2024,40.42,04.06.2024,03.06.2024,6.2024,15.07.2024,-2,-41,False,21,60,0,TKA,NO,41,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3990,597578,38579928,9410.0,debit,85,,55685902,*597578,940,603475,603475,162000,W+W Aufzugkomponenten,4503740459.0,03.06.2024,124.45,19.06.2024,04.06.2024,6.2024,02.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3991,597434,38580030,9334.0,debit,85,,55685362,*597434,940,603475,603475,162000,W+W Aufzugkomponenten,4503738705.0,29.05.2024,239.33,14.06.2024,04.06.2024,6.2024,28.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3992,597287,38580162,9332.0,debit,85,,55685258,w01 2024.05.29 *597287,940,603475,603475,162000,W+W Aufzugkomponenten,4503738976.0,28.05.2024,3716.74,13.06.2024,04.06.2024,6.2024,27.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3993,597286,38580248,9753.0,debit,85,,55685258,*597286,940,603475,603475,162000,W+W Aufzugkomponenten,4503740154.0,28.05.2024,143.63,13.06.2024,05.06.2024,6.2024,27.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3994,597016,38580266,9334.0,debit,85,,55684720,W01 2024.05.24. *597016,940,603475,603475,162000,W+W Aufzugkomponenten,4503737327.0,23.05.2024,100.91,10.06.2024,05.06.2024,6.2024,22.07.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3995,597698,38580327,9414.0,debit,85,,55686016,*597698,940,603475,603475,162000,W+W Aufzugkomponenten,4503741263.0,04.06.2024,888.72,20.06.2024,05.06.2024,6.2024,03.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3996,597773,38580389,9414.0,debit,85,,55686158,,940,603475,603475,162000,W+W Aufzugkomponenten,4503742445.0,05.06.2024,26.62,24.06.2024,05.06.2024,6.2024,04.08.2024,-2,-41,False,21,60,0,TKA,NO,41,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3997,597289,38580447,9882.0,debit,85,,55685258,p01 2024.05.29 *597289,940,603475,603475,162000,W+W Aufzugkomponenten,4503739370.0,28.05.2024,122.12,13.06.2024,06.06.2024,6.2024,27.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3998,597690,38580583,9775.0,debit,85,,55686016,w01 2024-05-06 *597690,940,603475,603475,162000,W+W Aufzugkomponenten,4503740374.0,04.06.2024,71.88,20.06.2024,06.06.2024,6.2024,03.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
3999,597290,38580640,9750.0,debit,85,,55685258,p01 2024.05.29 *597290,940,603475,603475,162000,W+W Aufzugkomponenten,4503739465.0,28.05.2024,106.98,13.06.2024,06.06.2024,6.2024,27.07.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4000,597774,38580644,9441.0,debit,85,,55686158,w01 2024.06.06 *597774,940,603475,603475,162000,W+W Aufzugkomponenten,4503743004.0,05.06.2024,146.94,24.06.2024,06.06.2024,6.2024,04.08.2024,-2,-41,False,21,60,0,TKA,NO,41,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4001,597920,38580645,9320.0,debit,85,,55686158,,940,603475,603475,162000,W+W Aufzugkomponenten,4503743147.0,06.06.2024,48.04,24.06.2024,06.06.2024,6.2024,05.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4002,597018,38580688,9440.0,debit,85,,55684720,P01 2024.05.24. *597018,940,603475,603475,162000,W+W Aufzugkomponenten,4503735457.0,23.05.2024,639.14,10.06.2024,07.06.2024,6.2024,22.07.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4003,598061,38580781,9440.0,debit,85,,55686406,,940,603475,603475,162000,W+W Aufzugkomponenten,4503742933.0,07.06.2024,391.59,25.06.2024,07.06.2024,6.2024,06.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4004,597807,38580890,9440.0,debit,85,,55686158,*597807,940,603475,603475,162000,W+W Aufzugkomponenten,4503742739.0,05.06.2024,1934.23,24.06.2024,10.06.2024,6.2024,04.08.2024,-2,-41,False,21,60,0,TKA,NO,41,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4005,596891,38580920,9776.0,debit,85,,55684968,w01 2024.06.03 *596891,940,603475,603475,162000,W+W Aufzugkomponenten,4503737724.0,22.05.2024,328.67,11.06.2024,10.06.2024,6.2024,21.07.2024,-1,-40,False,21,60,0,TKA,NO,40,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4006,598069,38580931,9334.0,debit,85,,55686406,,940,603475,603475,162000,W+W Aufzugkomponenten,4503696318.0,07.06.2024,68.14,25.06.2024,10.06.2024,6.2024,06.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4007,598068,38580932,9411.0,debit,85,,55686406,,940,603475,603475,162000,W+W Aufzugkomponenten,4503742646.0,07.06.2024,95.25,25.06.2024,10.06.2024,6.2024,06.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4008,597024,38581030,9335.0,debit,85,,55684968,w01 2024.05.28 *597024,940,603475,603475,162000,W+W Aufzugkomponenten,4503717503.0,23.05.2024,476.64,11.06.2024,10.06.2024,6.2024,22.07.2024,-2,-41,False,21,60,0,TKA,NO,41,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4009,598065,38581066,9461.0,debit,85,,55686406,,940,603475,603475,162000,W+W Aufzugkomponenten,4503744334.0,07.06.2024,342.7,25.06.2024,10.06.2024,6.2024,06.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4010,598058,38581067,9332.0,debit,85,,55686406,,940,603475,603475,162000,W+W Aufzugkomponenten,4503743574.0,07.06.2024,73.57,25.06.2024,10.06.2024,6.2024,06.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4011,597778,38581113,9775.0,debit,85,,55686158,*597778,940,603475,603475,162000,W+W Aufzugkomponenten,4503742441.0,05.06.2024,48.74,24.06.2024,11.06.2024,6.2024,04.08.2024,-2,-41,False,21,60,0,TKA,NO,41,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4012,597921,38581237,9411.0,debit,85,,55686158,*597921,940,603475,603475,162000,W+W Aufzugkomponenten,4503741864.0,06.06.2024,143.63,24.06.2024,11.06.2024,6.2024,05.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4013,597922,38581239,9461.0,debit,85,,55686158,*597922,940,603475,603475,162000,W+W Aufzugkomponenten,4503742052.0,06.06.2024,99.76,24.06.2024,11.06.2024,6.2024,05.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4014,598060,38581338,9775.0,debit,85,,55686406,*598060,940,603475,603475,162000,W+W Aufzugkomponenten,4503743380.0,07.06.2024,314.74,25.06.2024,11.06.2024,6.2024,06.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4015,597942,38581422,9770.0,debit,85,,55686158,W01 2024.06.10. WF Opened – RPA User,940,603475,603475,162000,W+W Aufzugkomponenten,4503742738.0,06.06.2024,418.98,24.06.2024,11.06.2024,6.2024,05.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4016,598156,38581425,9440.0,debit,85,,55686543,w01 2024.06.11,940,603475,603475,162000,W+W Aufzugkomponenten,4503744121.0,10.06.2024,277.04,26.06.2024,11.06.2024,6.2024,09.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4017,598066,38581497,9775.0,debit,85,,55686406,w01 2024.06.11,940,603475,603475,162000,W+W Aufzugkomponenten,4503744021.0,07.06.2024,88.5,25.06.2024,12.06.2024,6.2024,06.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4018,598160,38581502,9330.0,debit,85,,55686543,w01 2024.06.11,940,603475,603475,162000,W+W Aufzugkomponenten,4503743793.0,10.06.2024,220.23,26.06.2024,12.06.2024,6.2024,09.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4019,597930,38581584,9461.0,debit,85,,55686158,W01 2024.06.10. WF Opened – RPA User,940,603475,603475,162000,W+W Aufzugkomponenten,4503741883.0,06.06.2024,505.44,24.06.2024,12.06.2024,6.2024,05.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4020,598059,38581591,9440.0,debit,85,,55686406,W01 2024.06.11. WF Opened – RPA User,940,603475,603475,162000,W+W Aufzugkomponenten,4503743947.0,07.06.2024,52.12,25.06.2024,12.06.2024,6.2024,06.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4021,598171,38581594,9413.0,debit,85,,55686543,w01 2024.06.11,940,603475,603475,162000,W+W Aufzugkomponenten,4503740869.0,10.06.2024,308.51,26.06.2024,12.06.2024,6.2024,09.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4022,598062,38581622,9750.0,debit,85,,55686406,w01 2024.06.11,940,603475,603475,162000,W+W Aufzugkomponenten,4503743059.0,07.06.2024,75.95,25.06.2024,12.06.2024,6.2024,06.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4023,598295,38581688,9770.0,debit,85,,55686660,*598295,940,603475,603475,162000,W+W Aufzugkomponenten,4503744404.0,11.06.2024,173.78,27.06.2024,13.06.2024,6.2024,10.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4024,597929,38581715,9440.0,debit,85,,55686158,W01 2024.06.10. WF Opened – RPA User,940,603475,603475,162000,W+W Aufzugkomponenten,4503742064.0,06.06.2024,169.03,24.06.2024,13.06.2024,6.2024,05.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4025,598158,38581757,9461.0,debit,85,,55686543,*598158,940,603475,603475,162000,W+W Aufzugkomponenten,4503744839.0,10.06.2024,257.66,26.06.2024,13.06.2024,6.2024,09.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4026,597313,38581798,9334.0,debit,85,,55685362,w01 2024.05.29 *597313,940,603475,603475,162000,W+W Aufzugkomponenten,4503735278.0,28.05.2024,371.21,14.06.2024,13.06.2024,6.2024,27.07.2024,-4,-43,False,21,60,0,TKA,NO,43,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4027,598296,38581869,9330.0,debit,85,,55686660,*598296,940,603475,603475,162000,W+W Aufzugkomponenten,4503745332.0,11.06.2024,37.02,27.06.2024,14.06.2024,6.2024,10.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4028,598075,38581870,9410.0,debit,85,,55686406,*598075,940,603475,603475,162000,W+W Aufzugkomponenten,4503742548.0,07.06.2024,49.88,25.06.2024,14.06.2024,6.2024,06.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4029,597931,38581914,9770.0,debit,85,,55686158,W01 2024.06.10. WF Opened – RPA User,940,603475,603475,162000,W+W Aufzugkomponenten,4503741638.0,06.06.2024,151.89,24.06.2024,14.06.2024,6.2024,05.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4030,597928,38581938,9440.0,debit,85,,55686158,*597928,940,603475,603475,162000,W+W Aufzugkomponenten,4503742066.0,06.06.2024,74.18,24.06.2024,14.06.2024,6.2024,05.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4031,598297,38581970,9332.0,debit,85,,55686660,*598297,940,603475,603475,162000,W+W Aufzugkomponenten,4503744912.0,11.06.2024,54.41,27.06.2024,14.06.2024,6.2024,10.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4032,598155,38582186,9751.0,debit,85,,55686543,*598155,940,603475,603475,162000,W+W Aufzugkomponenten,4503744890.0,10.06.2024,127.72,26.06.2024,17.06.2024,6.2024,09.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4033,597688,38582320,9330.0,debit,85,,55686016,w01 2024-05-06 *597688,940,603475,603475,162000,W+W Aufzugkomponenten,4503742562.0,04.06.2024,291.38,20.06.2024,17.06.2024,6.2024,03.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4034,598063,38582322,9750.0,debit,85,,55686406,w01 2024.06.11,940,603475,603475,162000,W+W Aufzugkomponenten,4503743168.0,07.06.2024,412.57,25.06.2024,17.06.2024,6.2024,06.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4035,598161,38582323,9753.0,debit,85,,55686543,W01 2024.06.12. WF Opened – RPA User,940,603475,603475,162000,W+W Aufzugkomponenten,4503739630.0,10.06.2024,1778.55,26.06.2024,17.06.2024,6.2024,09.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4036,598274,38582450,9440.0,debit,85,,55686660,w01 2024.06.13,940,603475,603475,162000,W+W Aufzugkomponenten,4503745237.0,11.06.2024,409.73,27.06.2024,18.06.2024,6.2024,10.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4037,597943,38582691,9440.0,debit,85,,55686158,W01 2024.06.10. WF Opened – RPA User,940,603475,603475,162000,W+W Aufzugkomponenten,4503740786.0,06.06.2024,338.27,24.06.2024,19.06.2024,6.2024,05.08.2024,-3,-42,False,21,60,0,TKA,NO,42,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4038,597555,38582863,9885.0,debit,85,,55686016,w01 2024.06.04 *597555,940,603475,603475,162000,W+W Aufzugkomponenten,4503739367.0,03.06.2024,479.18,20.06.2024,19.06.2024,6.2024,02.08.2024,-4,-43,False,21,60,0,TKA,NO,43,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4039,597692,38583115,9461.0,debit,85,,55686158,p01 2024.06.05 *597692,940,603475,603475,162000,W+W Aufzugkomponenten,4503742432.0,04.06.2024,1365.26,24.06.2024,21.06.2024,6.2024,03.08.2024,-1,-40,False,21,60,0,TKA,NO,40,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4040,598272,38583356,9772.0,debit,85,,55686660,w01 2024.06.13,940,603475,603475,162000,W+W Aufzugkomponenten,4503745011.0,11.06.2024,33.93,27.06.2024,24.06.2024,6.2024,10.08.2024,-5,-44,False,21,60,0,TKA,NO,44,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4041,597696,38583659,9334.0,debit,85,,55686543,w01 2024-05-06 *597696,940,603475,603475,162000,W+W Aufzugkomponenten,4503694988.0,04.06.2024,329.95,26.06.2024,25.06.2024,6.2024,03.08.2024,1,-38,False,21,60,0,TKA,NO,38,True,PO,60,innerhalb von 21 Tagen 3 % Skonto,30-60 d,PO Invoices
4042,202402092,38579681,9752.0,debit,69,,55684123,*202402092,940,603490,603490,162000,Schurr Gerätebau GmbH,4503594547.0,11.04.2024,24887.0,04.06.2024,31.05.2024,5.2024,21.04.2024,44,44,True,10,0,0,TKA,NO,-44,False,PO,10,innerhalb von 10 Tagen ohne Abzug,< 30 day,PO Invoices
4043,202402566,38581789,9771.0,debit,69,,55685363,*202402566,940,603490,603490,162000,Schurr Gerätebau GmbH,4503662782.0,06.06.2024,2673.0,14.06.2024,13.06.2024,6.2024,16.06.2024,-2,-2,True,10,0,0,TKA,NO,2,True,PO,10,innerhalb von 10 Tagen ohne Abzug,< 30 day,PO Invoices
4044,202402622,38582896,9751.0,debit,69,,55686159,*202402622,940,603490,603490,162000,Schurr Gerätebau GmbH,4503603243.0,12.06.2024,12708.0,24.06.2024,20.06.2024,6.2024,22.06.2024,2,2,True,10,0,0,TKA,NO,-2,False,PO,10,innerhalb von 10 Tagen ohne Abzug,< 30 day,PO Invoices
4045,202402564,38583305,9774.0,debit,69,,55686407,*202402564,940,603490,603490,162000,Schurr Gerätebau GmbH,4503619651.0,06.06.2024,2447.0,25.06.2024,24.06.2024,6.2024,16.06.2024,9,9,True,10,0,0,TKA,NO,-9,False,PO,10,innerhalb von 10 Tagen ohne Abzug,< 30 day,PO Invoices
4046,1400025425,38580007,9330.0,debit,85,,55684344,*1400025425,940,603528,603528,162000,Böhnke + Partner GmbH,4503737217.0,22.05.2024,734.8,05.06.2024,04.06.2024,6.2024,21.06.2024,0,-16,False,14,30,0,TKA,NO,16,True,PO,30,innerhalb von 14 Tagen 2 % Skonto,< 30 day,PO Invoices
4047,245560338-2024,370373659,9415.0,debit,84,,55685478,*245560338-2024,940,603529,603529,162000,Neue Westfälische GmbH & Co KG,,01.06.2024,52.9,17.06.2024,14.06.2024,6.2024,15.06.2024,2,2,True,14,0,0,TKA,NO,-2,False,FI,14,innerhalb von 14 Tagen ohne Abzug,< 30 day,FI Invoices
4048,87502,38579578,9440.0,debit,85,,55686408,*87502,940,603560,603560,162000,Schlosser Aufzugtechnologie GmbH,4503726572.0,29.05.2024,40.46,25.06.2024,31.05.2024,5.2024,28.06.2024,-3,-3,True,30,0,0,TKA,NO,3,True,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
4049,87490,38581788,9320.0,debit,85,,55685742,*87490,940,603560,603560,162000,Schlosser Aufzugtechnologie GmbH,4503722073.0,24.05.2024,1335.18,18.06.2024,13.06.2024,6.2024,23.06.2024,-5,-5,True,30,0,0,TKA,NO,5,True,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
4050,055549/41106,38580968,9330.0,debit,85,,55684969,,940,603562,603562,162000,Strack Lift Automation GmbH,4503743357.0,04.06.2024,152.69,11.06.2024,10.06.2024,6.2024,04.07.2024,-3,-23,False,10,30,0,TKA,NO,23,True,PO,30,innerhalb von 10 Tagen 2 % Skonto,< 30 day,PO Invoices
4051,94576491,370371997,9330.0,debit,85,,55683798,*94576491,940,603644,603644,162000,InfraServ GmbH & Co. Höchst KG,,02.05.2024,443.16,03.06.2024,30.05.2024,5.2024,12.05.2024,22,22,True,10,0,0,TKA,NO,-22,False,FI,10,innerhalb von 10 Tagen ohne Abzug,< 30 day,FI Invoices
